Site_Id,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,Employee_Id
610,Mason,WARREN,OH,45040,10470
611,Hartford,HARTFORD CITY,CT,6114,10471
612,Seattle,KING,WA,98121,10472
613,Philadelphia,PHILADELPHIA,PA,19103,10473
614,Baton Rouge,EAST BATON ROUGE,LA,70803,10474
615,Wilmington,NEW CASTLE,DE,19809,10475
616,Lathrop,SAN JOAQUIN,CA,95330,10476
617,SAN FRANCISCO,SAN FRANCISCO,CA,94105,10477
618, Hoboken,HUDSON,NJ,7030,10478
619,Glendale,LOS ANGELES,CA,91206,10479
620,Falls Church,FAIRFAX,VA,22042,10480
621,Cupertino,SANTA CLARA,CA,95014,10481
622,TAMPA,HILLSBOROUGH,FL,33619,10482
623,Mountain View,SANTA CLARA,CA,94043,10483
624,Norcross,GWINNETT,GA,30092,10484
625,Research Triangle Park,WAKE,NC,27709,10485
626,Austin,TRAVIS,TX,78735,10486
627,CLEVELAND,CUYAHOGA,OH,44115,10487
628,Campbell,SANTA CLARA,CA,95008,10488
629,Santa Clara,SANTA CLARA,CA,95054,10489
630,Chicago,COOK,IL,60602,10490
631,NORWOOD,NORFOLK,MA,2062,10491
632,PLANO,COLLIN,TX,75024,10492
633,Greenwood Village,ARAPAHOE,CO,80111,10493
634,Houston,HARRIS,TX,77056,10494
635,Durham,DURHAM,NC,27708,10495
636,San Francisco,SAN FRANCISCO,CA,94103,10496
637,ANDERSON,MADISON,IN,46016,10497
638,Wilmington,NEW CASTLE,DE,19809,10498
639,WILMINGTON,NEW CASTLE,DE,19803,10499
640,ALTAMONTE SPRINGS,SEMINOLE,FL,32714-3271,10500
641,Jersey City,HUDSON,NJ,7302,10501
642,Santa Clara,SANTA CLARA,CA,95054,10502
643,Hoboken,HUDSON,NJ,7030,10503
644,Pasadena,LOS ANGELES,CA,91101,10504
645,Forney,KAUFMAN,TX,75126,10505
646,San Francisco,SAN FRANCISCO,CA,94104,10506
647,Cincinnati,HAMILTON,OH,45202,10507
648,Herndon,FAIRFAX,VA,20170,10508
649,New York,NEW YORK,NY,10017,10509
650,Redmond,KING,WA,98052,10510
651,Fremont,ALAMEDA,CA,94538,10511
652,San Diego,SAN DIEGO,CA,92127,10512
653,New York,NEW YORK,NY,10019,10513
654,Dallas,DALLAS,TX,75201,10514
655,Newark,ALAMEDA,CA,94560,10515
656,HOUSTON ,HARRIS,TX,77002,10516
657,Raleigh,WAKE,NC,27606,10517
658,Charlotte,MECKLENBURG,NC,28262,10518
659,San Francisco,SAN FRANCISCO,CA,94103,10519
660,Nashville,DAVIDSON,TN,37203,10520
661,Prospect Heights,COOK,IL,60070,10521
662,ALLEN PARK,WAYNE,MI,48101,10522
663,Austin,TRAVIS,TX,78758,10523
664,Baltimore,BALTIMORE CITY,MD,21202,10524
665,Fairfax,FAIRFAX,VA,22033,10525
666,Reston,FAIRFAX,VA,20191,10526
667,Farmington Hills,OAKLAND,MI,48331,10527
668,Lexington,FAYETTE,KY,40504,10528
669,Hillsborough,HILLSBOROUGH,FL,33607,10529
670,Redwood City,SAN MATEO,CA,94063,10530
671,San Francisco,SAN FRANCISCO,CA,94105,10531
672,Morrisville,WAKE,NC,27560,10532
673,Menomonee Falls,WAUKESHA,WI,53051,10533
674,West Chester,CHESTER,PA,19380,10534
675,Fairfield,FAIRFIELD,CT,6825,10535
676,San Francisco,SAN FRANCISCO,CA,94102,10536
677,Lewisville ,DENTON,TX,75056,10537
678,Durham,DURHAM,NC,27707,10538
679,Mountain View,SANTA CLARA,CA,94043,10539
680,Tempe,MARICOPA,AZ,85281,10540
681,Chicago,COOK,IL,60611,10541
682,San Diego,SAN DIEGO,CA,92127,10542
683,Bellevue,KING,WA,98008,10543
684,Palo Alto,SAN MATEO,CA,94301,10544
685,Houston,HARRIS,TX,77036,10545
686,Iselin,MIDDLESEX,NJ,8830,10546
687,Indianapolis,MARION,IN,46282,10547
688,Chicago,COOK,IL,60606,10548
689,Middletown ,MONMOUTH,NJ,7748,10549
690,Houston,HARRIS,TX,77002,10550
691,NEW YORK,NEW YORK,NY,10022,10551
692,Tampa,HILLSBOROUGH,FL,33507,10552
693,San Jose	,SANTA CLARA,CA,95123,10553
694,Pleasanton,ALAMEDA,CA,94566,10554
695,Lafayette,BOULDER,CO,80026,10555
696,Saint Louis,ST LOUIS,MO,63146,10556
697,Union,UNION,NJ,7083,10557
698,Houston,HARRIS,TX,77074,10558
699,Atlanta,FULTON,GA,30303,10559
700,Santa Clara,SANTA CLARA,CA,95051,10560
701,Orlando,ORANGE,FL,32801,10561
